Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2025-10-22 08:48:41,false,"Ciclismo en sala","0,00","181","00:30:04","129","145","--","--","--","--","--","--","--","--","114","10,8","111","101","181","--","--","--","--","17,0","No","00:30:04","1","18,0","--","--","00:00:00","00:30:04","672","674"
Ciclismo en sala,2025-10-20 08:38:59,false,"Ciclismo en sala","0,00","404","00:40:05","156","179","--","--","--","--","--","--","--","--","182","36,8","168","168","267","--","--","--","--","16,0","No","00:40:05","1","20,0","--","--","00:00:00","00:41:48","701","704"
Ciclismo en sala,2025-10-19 13:55:32,false,"Ciclismo en sala","0,00","442","01:00:05","146","193","--","--","--","--","--","--","--","--","141","33,0","149","123","206","--","--","--","--","15,0","No","01:00:05","1","19,0","--","--","00:00:00","01:03:21","685","963"
Ciclismo en sala,2025-10-17 08:40:01,false,"Ciclismo en sala","0,00","369","00:40:02","155","168","--","--","--","--","--","--","--","--","161","28,5","168","154","216","--","--","--","--","16,0","No","00:40:02","1","19,0","--","--","00:00:00","00:40:04","657","741"
Ciclismo en sala,2025-10-15 08:11:52,false,"Ciclismo en sala","0,00","344","00:40:03","139","162","--","--","--","--","--","--","--","--","157","27,3","160","143","272","--","--","--","--","16,0","No","00:40:03","1","18,0","--","--","00:00:00","00:45:58","635","649"
Ciclismo en sala,2025-10-12 10:09:14,false,"Ciclismo en sala","0,00","294","00:38:09","143","158","--","--","--","--","--","--","--","--","140","20,6","147","129","209","--","--","--","--","18,0","No","00:38:09","1","27,0","--","--","00:00:00","00:39:43","618","621"
Ciclismo en sala,2025-10-10 08:07:47,false,"Ciclismo en sala","0,00","308","00:39:34","136","155","--","--","--","--","--","--","--","--","143","22,3","157","130","197","--","--","--","--","16,0","No","00:39:34","1","20,0","--","--","00:00:00","00:46:58","659","1.282"
Ciclismo en sala,2025-10-09 08:40:38,false,"Ciclismo en sala","0,00","415","00:40:04","157","175","--","--","--","--","--","--","--","--","183","37,2","198","172","239","--","--","--","--","20,0","No","00:40:04","1","23,0","--","--","00:00:00","00:40:36","691","694"
Ciclismo,2025-10-02 17:23:24,false,"Madrid Ciclismo","34,11","1.044","02:31:43","137","194","--","--","--","13,5","46,1","259","222","--","--","0,0","--","--","--","--","--","--","--","22,0","No","02:31:43","1","29,0","--","--","01:41:13","02:36:25","586","681"
Ciclismo en sala,2025-10-01 08:16:54,false,"Ciclismo en sala","0,00","530","00:51:14","153","170","--","--","--","--","--","--","--","--","178","45,0","191","172","226","--","--","--","--","16,0","No","00:51:14","1","20,0","--","--","00:00:00","00:56:45","656","884"
